250,68,103,111
250,189,250,222
250,78,135,81
250,77,136,80
250,77,136,80
250,76,137,79
250,78,135,83
250,75,138,78
250,77,136,80
250,77,136,81
250,74,139,77
250,77,136,81
250,75,139,79
250,78,135,82
73,141,250,72
250,81,132,84
187,196,250,189
250,144,71,143
250,81,133,84
250,78,135,83
250,74,138,79
250,75,138,78
250,53,250,160
250,124,250,90
47,52,250,104
45,49,167,189
250,51,250,132
237,54,224,220
250,56,224,71
250,91,153,183
163,196,250,48
165,194,53,47
250,150,54,47
250,193,56,183
250,69,56,80
250,142,73,74
250,146,68,147
250,81,133,83
250,76,138,79
250,76,138,161
171,57,157,216
142,76,250,138
220,99,113,103
250,79,250,134
250,147,68,147
250,80,134,82
250,78,135,81
191,196,250,222
250,108,250,105
250,193,250,221
250,83,130,85
250,91,250,122
250,164,214,113
174,195,224,218
250,137,76,139
250,91,250,121
250,163,223,107
205,195,223,217
250,110,104,112
250,77,136,80
250,76,137,81
250,77,137,190
172,194,223,218
250,141,74,140
250,80,133,82
250,80,133,83
250,79,134,82
250,78,135,80
250,75,139,78
250,78,135,81
250,78,136,80
250,78,136,52
250,105,109,48
250,136,250,48
250,196,250,47
250,68,250,150
250,150,250,244
50,91,250,221
250,55,250,158
45,49,250,166
122,48,250,167
141,49,202,180
205,51,163,216
172,52,161,179
164,196,250,221
250,97,117,99
250,79,134,82
250,77,137,80
250,77,135,80
250,77,136,79
250,80,134,82
250,78,135,81
250,80,133,84
250,90,250,122
250,164,216,112
201,195,223,218
250,112,102,113
250,79,135,81
250,76,250,221
250,80,133,83
250,77,250,136
250,168,215,113
204,196,223,219
250,105,109,106
250,78,136,80
250,79,134,82
250,77,137,80
250,77,136,81
250,78,135,81
250,77,137,79
250,78,135,82
250,56,250,157
250,167,214,113
125,50,250,164
54,50,250,98
50,51,250,101
47,52,223,101
46,53,250,94
250,56,250,175
250,192,250,108
250,89,156,54
250,133,250,51
220,195,54,46
171,195,54,189
145,73,56,77
164,175,222,94
164,195,222,53
164,155,62,154
171,194,250,221
250,121,94,121
250,77,136,80
250,80,133,83
250,77,137,80
250,77,137,79
250,77,137,80
250,79,134,83
250,77,137,80
250,75,138,78
250,93,250,119
250,165,217,113
174,196,223,217
250,136,78,137
250,78,134,81
250,78,136,79
250,77,136,79
250,77,136,81
250,79,134,82
250,77,137,80
250,77,136,191
203,195,224,220
250,106,107,108
250,75,138,79
250,75,138,78
78,137,250,76
250,79,134,84
250,76,137,85
250,71,142,53
250,96,117,48
250,127,85,46
250,160,250,46
250,196,250,245
173,196,250,244
50,165,250,221
48,125,250,88
46,158,250,154
132,114,250,59
141,49,250,98
250,49,250,165
250,49,250,91
220,100,113,103
250,61,152,161
218,195,223,220
250,105,250,108
250,193,217,112
203,196,223,190
250,133,81,134
250,79,133,83
250,75,250,138
250,163,223,105
199,194,223,188
250,142,250,221
250,77,137,79
250,76,250,222
191,195,250,222
250,111,103,112
250,75,138,79
250,76,137,80
250,76,250,221
250,79,134,82
250,76,138,79
250,75,138,79
250,77,136,80
250,78,135,81
250,57,250,155
250,54,250,97
172,54,87,66
52,52,250,99
49,50,250,104
48,53,106,109
46,51,250,87
250,52,250,87
250,56,250,122
250,85,250,132
250,149,250,50
175,143,250,47
250,179,250,245
250,57,250,157
250,140,74,74
250,148,66,149
76,139,250,75
250,79,135,192
206,196,223,221
250,102,112,103
250,77,137,191
165,194,223,220
250,144,71,144
250,79,134,82
250,77,136,79
250,76,137,80
250,77,136,79
250,75,250,137
250,163,250,52
220,196,250,162
204,196,223,184
250,140,250,74
163,73,250,140
250,143,72,142
250,81,132,84
250,75,138,191
205,196,223,219
250,103,110,106
250,77,136,80
250,78,135,81
250,75,139,78
250,77,136,81
250,78,135,81
250,77,137,190
173,197,224,118
129,87,126,49
250,129,84,47
250,162,250,47
163,194,250,60
250,130,250,152
52,86,250,130
250,172,250,221
45,172,250,86
250,109,250,158
250,48,250,164
250,48,250,127
171,50,94,63
220,51,250,162
250,97,250,117
250,184,250,159
250,125,89,127
250,76,138,87
250,73,141,75
250,74,140,76
250,76,137,185
209,194,223,220
250,106,250,221
250,78,136,81
250,77,137,79
250,76,136,80
250,77,136,80
250,77,136,81
250,76,137,79
250,77,136,80
250,76,137,80
250,75,138,77
250,79,134,82
250,94,250,119
250,162,216,113
202,195,223,221
250,105,109,106
250,77,137,79
250,79,134,81
250,78,135,81
96,119,210,216
54,54,250,96
250,134,250,79
48,50,250,105
250,49,250,166
250,50,250,221
250,51,250,126
250,55,223,52
184,85,160,50
250,105,145,144
173,194,51,250
175,196,53,216
183,195,55,180
173,47,166,218
173,194,250,221
188,195,250,221
250,106,107,108
250,79,134,82
250,76,137,81
250,73,140,77
250,77,136,81
190,195,250,222
250,112,102,113
250,78,135,80
250,75,138,79
250,79,134,82
250,75,138,79
250,78,135,81
170,62,152,216
148,69,250,145
172,150,66,150
164,194,250,169
250,174,218,110
171,149,63,55
250,160,250,50
220,196,250,48
250,82,250,159
172,142,250,80
250,64,250,160
52,59,250,185
50,58,250,182
48,57,250,158
250,61,250,152
250,170,50,160
250,89,250,123
250,164,216,114
202,195,223,221
250,103,111,104
250,78,135,81
250,79,135,81
250,93,250,121
250,163,53,161
250,77,137,79
250,76,136,80
250,76,137,80
250,80,134,82
250,76,136,80
