S1,S2,S3,S4,Activity
250,68,103,111,0
250,189,250,222,0
250,78,135,81,0
250,77,136,80,0
250,77,136,80,0
250,76,137,79,0
250,78,135,83,0
250,75,138,78,0
250,77,136,80,0
250,77,136,81,0
250,74,139,77,0
250,77,136,81,0
250,75,139,79,0
250,78,135,82,0
73,141,250,72,0
250,81,132,84,0
187,196,250,189,0
250,144,71,143,0
250,81,133,84,0
250,78,135,83,0
250,74,138,79,0
250,75,138,78,0
250,53,250,160,0
250,124,250,90,0
47,52,250,104,1
45,49,167,189,1
250,51,250,132,1
237,54,224,220,1
250,56,224,71,1
250,91,153,183,1
163,196,250,48,1
165,194,53,47,1
250,150,54,47,1
250,193,56,183,1
250,69,56,80,1
250,142,73,74,0
250,146,68,147,0
250,81,133,83,0
250,76,138,79,0
250,76,138,161,0
171,57,157,216,0
142,76,250,138,0
220,99,113,103,0
250,79,250,134,0
250,147,68,147,0
250,80,134,82,0
250,78,135,81,0
191,196,250,222,0
250,108,250,105,0
250,193,250,221,0
250,83,130,85,0
250,91,250,122,0
250,164,214,113,0
174,195,224,218,0
250,137,76,139,0
250,91,250,121,0
250,163,223,107,0
205,195,223,217,0
250,110,104,112,0
250,77,136,80,0
250,76,137,81,0
250,77,137,190,0
172,194,223,218,0
250,141,74,140,0
250,80,133,82,0
250,80,133,83,0
250,79,134,82,0
250,78,135,80,0
250,75,139,78,0
250,78,135,81,0
250,78,136,80,0
250,78,136,52,0
250,105,109,48,0
250,136,250,48,0
250,196,250,47,0
250,68,250,150,0
250,150,250,244,0
50,91,250,221,1
250,55,250,158,1
45,49,250,166,1
122,48,250,167,1
141,49,202,180,1
205,51,163,216,1
172,52,161,179,1
164,196,250,221,0
250,97,117,99,0
250,79,134,82,0
250,77,137,80,0
250,77,135,80,0
250,77,136,79,0
250,80,134,82,0
250,78,135,81,0
250,80,133,84,0
250,90,250,122,0
250,164,216,112,0
201,195,223,218,0
250,112,102,113,0
250,79,135,81,0
250,76,250,221,0
250,80,133,83,0
250,77,250,136,0
250,168,215,113,0
204,196,223,219,0
250,105,109,106,0
250,78,136,80,0
250,79,134,82,0
250,77,137,80,0
250,77,136,81,0
250,78,135,81,0
250,77,137,79,0
250,78,135,82,0
250,56,250,157,0
250,167,214,113,0
125,50,250,164,1
54,50,250,98,1
50,51,250,101,1
47,52,223,101,1
